case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,30.439088914585774,3,3,136.68,runs/2025-11-14_11-13-36/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,30.439088914585774,3,3,38.69,runs/2025-11-14_11-13-36/case_0001/ExactRobot_UpSideways_RegularRes.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,30.439088914585774,3,5,124.87,runs/2025-11-14_11-13-36/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,112.47213595499957,11,11,674.06,runs/2025-11-14_11-13-36/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,180.03566884761818,17,74,1318.19,runs/2025-11-14_11-13-36/case_0002/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,112.47213595499957,11,11,306.84,runs/2025-11-14_11-13-36/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,56.64911064067352,6,6,350.68,runs/2025-11-14_11-13-36/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,56.64911064067352,6,6,95.09,runs/2025-11-14_11-13-36/case_0003/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,51.806131001455405,5,5,120.65,runs/2025-11-14_11-13-36/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,34.64911064067352,5,5,282.45,runs/2025-11-14_11-13-36/case_0004/ExactRobot_VaryingLength_RegularRes.png
4,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,57.27,runs/2025-11-14_11-13-36/case_0004/ExactRobot_UpSideways_RegularRes.png
