case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1937.36,runs/2025-11-22_14-55-22/case_0001/ExactRobot_UpSideways_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,0,inf,0,0,3892.02,runs/2025-11-22_14-55-22/case_0001/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,12.0,12,14,545.55,runs/2025-11-22_14-55-22/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
1,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,14.0,14,16,1619.96,runs/2025-11-22_14-55-22/case_0001/ExactRobot_VaryingLength_RegularRes_RegularPad.png
2,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,1.0,1,2,27.44,runs/2025-11-22_14-55-22/case_0002/ExactRobot_UpSideways_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,1.0,1,2,39.6,runs/2025-11-22_14-55-22/case_0002/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,1.0,1,2,42.6,runs/2025-11-22_14-55-22/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
2,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,1.0,1,2,109.18,runs/2025-11-22_14-55-22/case_0002/ExactRobot_VaryingLength_RegularRes_RegularPad.png
3,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1706.27,runs/2025-11-22_14-55-22/case_0003/ExactRobot_UpSideways_RegularRes_RegularPad.png
3,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,0,inf,0,0,6376.22,runs/2025-11-22_14-55-22/case_0003/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
