case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,7.0,7,8,183.4,runs/2025-11-22_13-57-59/case_0001/ExactRobot_UpSideways_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,7.0,7,8,272.36,runs/2025-11-22_13-57-59/case_0001/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,6.0,6,7,257.11,runs/2025-11-22_13-57-59/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
1,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,7.0,7,8,750.17,runs/2025-11-22_13-57-59/case_0001/ExactRobot_VaryingLength_RegularRes_RegularPad.png
2,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,10.0,10,11,269.19,runs/2025-11-22_13-57-59/case_0002/ExactRobot_UpSideways_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,10.0,10,11,382.4,runs/2025-11-22_13-57-59/case_0002/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,8.0,8,9,336.75,runs/2025-11-22_13-57-59/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
2,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,10.0,10,11,1067.12,runs/2025-11-22_13-57-59/case_0002/ExactRobot_VaryingLength_RegularRes_RegularPad.png
3,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,9.0,9,10,247.1,runs/2025-11-22_13-57-59/case_0003/ExactRobot_UpSideways_RegularRes_RegularPad.png
3,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,9.0,9,10,349.67,runs/2025-11-22_13-57-59/case_0003/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,7.0,7,8,293.23,runs/2025-11-22_13-57-59/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
3,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,9.0,9,10,979.16,runs/2025-11-22_13-57-59/case_0003/ExactRobot_VaryingLength_RegularRes_RegularPad.png
4,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,7.0,7,10,240.04,runs/2025-11-22_13-57-59/case_0004/ExactRobot_UpSideways_RegularRes_RegularPad.png
4,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,7.0,7,10,350.92,runs/2025-11-22_13-57-59/case_0004/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
4,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,6.0,6,7,256.95,runs/2025-11-22_13-57-59/case_0004/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
4,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,7.0,7,8,758.95,runs/2025-11-22_13-57-59/case_0004/ExactRobot_VaryingLength_RegularRes_RegularPad.png
5,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,591.64,runs/2025-11-22_13-57-59/case_0005/ExactRobot_UpSideways_RegularRes_RegularPad.png
5,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,0,inf,0,0,5606.02,runs/2025-11-22_13-57-59/case_0005/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
5,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,3.0,3,4,127.81,runs/2025-11-22_13-57-59/case_0005/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
5,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,6.0,6,30,3181.75,runs/2025-11-22_13-57-59/case_0005/ExactRobot_VaryingLength_RegularRes_RegularPad.png
6,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,3.0,3,4,86.08,runs/2025-11-22_13-57-59/case_0006/ExactRobot_UpSideways_RegularRes_RegularPad.png
6,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,3.0,3,4,119.11,runs/2025-11-22_13-57-59/case_0006/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
6,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,3.0,3,4,129.03,runs/2025-11-22_13-57-59/case_0006/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
6,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,3.0,3,4,332.2,runs/2025-11-22_13-57-59/case_0006/ExactRobot_VaryingLength_RegularRes_RegularPad.png
7,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,8.0,8,9,218.72,runs/2025-11-22_13-57-59/case_0007/ExactRobot_UpSideways_RegularRes_RegularPad.png
7,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,8.0,8,9,324.62,runs/2025-11-22_13-57-59/case_0007/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
7,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,7.0,7,8,304.67,runs/2025-11-22_13-57-59/case_0007/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
7,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,8.0,8,9,882.96,runs/2025-11-22_13-57-59/case_0007/ExactRobot_VaryingLength_RegularRes_RegularPad.png
8,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1864.34,runs/2025-11-22_13-57-59/case_0008/ExactRobot_UpSideways_RegularRes_RegularPad.png
8,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,0,inf,0,0,3254.7,runs/2025-11-22_13-57-59/case_0008/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
8,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,13.0,13,24,992.87,runs/2025-11-22_13-57-59/case_0008/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
8,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,15.0,15,49,5274.78,runs/2025-11-22_13-57-59/case_0008/ExactRobot_VaryingLength_RegularRes_RegularPad.png
9,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,1.0,1,2,28.91,runs/2025-11-22_13-57-59/case_0009/ExactRobot_UpSideways_RegularRes_RegularPad.png
9,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,1.0,1,2,40.7,runs/2025-11-22_13-57-59/case_0009/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
9,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,1.0,1,2,44.05,runs/2025-11-22_13-57-59/case_0009/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
9,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,1.0,1,2,111.38,runs/2025-11-22_13-57-59/case_0009/ExactRobot_VaryingLength_RegularRes_RegularPad.png
10,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1333.86,runs/2025-11-22_13-57-59/case_0010/ExactRobot_UpSideways_RegularRes_RegularPad.png
10,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,0,inf,0,0,5171.33,runs/2025-11-22_13-57-59/case_0010/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
10,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,0,inf,0,0,21153.35,runs/2025-11-22_13-57-59/case_0010/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
10,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,79094.43,runs/2025-11-22_13-57-59/case_0010/ExactRobot_VaryingLength_RegularRes_RegularPad.png
