case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,112.47213595499957,11,11,698.68,runs/2025-11-13_12-40-50/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,180.03566884761818,17,74,1362.43,runs/2025-11-13_12-40-50/case_0001/ExactRobot_UpSideways_RegularRes.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,112.47213595499957,11,11,303.04,runs/2025-11-13_12-40-50/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,56.64911064067352,6,6,356.44,runs/2025-11-13_12-40-50/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,56.64911064067352,6,6,93.17,runs/2025-11-13_12-40-50/case_0002/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,51.806131001455405,5,5,121.5,runs/2025-11-13_12-40-50/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,34.64911064067352,5,5,290.31,runs/2025-11-13_12-40-50/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,57.84,runs/2025-11-13_12-40-50/case_0003/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,44.62741699796952,5,13,350.45,runs/2025-11-13_12-40-50/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,69.15294643796591,10,13,846.81,runs/2025-11-13_12-40-50/case_0004/ExactRobot_VaryingLength_RegularRes.png
4,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,56.04,runs/2025-11-13_12-40-50/case_0004/ExactRobot_UpSideways_RegularRes.png
4,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,61.76016294839108,6,6,151.16,runs/2025-11-13_12-40-50/case_0004/ExactRobot_UpSidewaysDiagonal_RegularRes.png
5,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,28.278820596099706,3,3,157.69,runs/2025-11-13_12-40-50/case_0005/ExactRobot_VaryingLength_RegularRes.png
5,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,28.278820596099706,3,3,38.8,runs/2025-11-13_12-40-50/case_0005/ExactRobot_UpSideways_RegularRes.png
