case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1968.98,runs/2025-11-25_18-24-48/case_0001/ExactRobot_UpSideways_RegularRes_RegularPad.png
1,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,1191.65,runs/2025-11-25_18-24-48/case_0001/RectangleRobot_UpSideways_RegularRes_RegularPad.png
2,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,1.0,1,2,28.32,runs/2025-11-25_18-24-48/case_0002/ExactRobot_UpSideways_RegularRes_RegularPad.png
2,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,1.0,1,2,16.34,runs/2025-11-25_18-24-48/case_0002/RectangleRobot_UpSideways_RegularRes_RegularPad.png
3,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1798.72,runs/2025-11-25_18-24-48/case_0003/ExactRobot_UpSideways_RegularRes_RegularPad.png
3,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,890.94,runs/2025-11-25_18-24-48/case_0003/RectangleRobot_UpSideways_RegularRes_RegularPad.png
4,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,189.38,runs/2025-11-25_18-24-48/case_0004/ExactRobot_UpSideways_RegularRes_RegularPad.png
4,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,96.97,runs/2025-11-25_18-24-48/case_0004/RectangleRobot_UpSideways_RegularRes_RegularPad.png
5,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,4.0,4,5,106.53,runs/2025-11-25_18-24-48/case_0005/ExactRobot_UpSideways_RegularRes_RegularPad.png
5,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,4.0,4,5,66.47,runs/2025-11-25_18-24-48/case_0005/RectangleRobot_UpSideways_RegularRes_RegularPad.png
6,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,6.0,6,7,164.03,runs/2025-11-25_18-24-48/case_0006/ExactRobot_UpSideways_RegularRes_RegularPad.png
6,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,6.0,6,7,97.7,runs/2025-11-25_18-24-48/case_0006/RectangleRobot_UpSideways_RegularRes_RegularPad.png
7,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,3197.79,runs/2025-11-25_18-24-48/case_0007/ExactRobot_UpSideways_RegularRes_RegularPad.png
7,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,1741.91,runs/2025-11-25_18-24-48/case_0007/RectangleRobot_UpSideways_RegularRes_RegularPad.png
8,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,5.0,5,6,132.71,runs/2025-11-25_18-24-48/case_0008/ExactRobot_UpSideways_RegularRes_RegularPad.png
8,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,5.0,5,6,82.85,runs/2025-11-25_18-24-48/case_0008/RectangleRobot_UpSideways_RegularRes_RegularPad.png
9,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,3719.68,runs/2025-11-25_18-24-48/case_0009/ExactRobot_UpSideways_RegularRes_RegularPad.png
9,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,2165.22,runs/2025-11-25_18-24-48/case_0009/RectangleRobot_UpSideways_RegularRes_RegularPad.png
