case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,0.01,runs/2025-11-13_12-17-19/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,0.01,runs/2025-11-13_12-17-19/case_0001/ExactRobot_UpSideways_RegularRes.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,0,inf,0,0,0.01,runs/2025-11-13_12-17-19/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,71.60147050873545,7,7,447.07,runs/2025-11-13_12-17-19/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,71.60147050873545,7,7,109.47,runs/2025-11-13_12-17-19/case_0002/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,63.39047161220973,6,6,143.09,runs/2025-11-13_12-17-19/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,52.643316977093235,5,5,280.6,runs/2025-11-13_12-17-19/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,52.643316977093235,5,5,76.89,runs/2025-11-13_12-17-19/case_0003/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,49.631529562261115,5,5,121.75,runs/2025-11-13_12-17-19/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,143.4928556845359,13,13,839.46,runs/2025-11-13_12-17-19/case_0004/ExactRobot_VaryingLength_RegularRes.png
4,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,143.4928556845359,13,13,219.41,runs/2025-11-13_12-17-19/case_0004/ExactRobot_UpSideways_RegularRes.png
4,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,125.50329072725563,11,11,303.23,runs/2025-11-13_12-17-19/case_0004/ExactRobot_UpSidewaysDiagonal_RegularRes.png
5,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,126456.8,runs/2025-11-13_12-17-19/case_0005/ExactRobot_VaryingLength_RegularRes.png
5,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1863.63,runs/2025-11-13_12-17-19/case_0005/ExactRobot_UpSideways_RegularRes.png
5,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,0,inf,0,0,46514.25,runs/2025-11-13_12-17-19/case_0005/ExactRobot_UpSidewaysDiagonal_RegularRes.png
6,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,48.64911064067352,5,5,291.14,runs/2025-11-13_12-17-19/case_0006/ExactRobot_VaryingLength_RegularRes.png
6,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,48.64911064067352,5,5,78.88,runs/2025-11-13_12-17-19/case_0006/ExactRobot_UpSideways_RegularRes.png
6,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,48.64911064067352,5,5,111.59,runs/2025-11-13_12-17-19/case_0006/ExactRobot_UpSidewaysDiagonal_RegularRes.png
7,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,49.78,runs/2025-11-13_12-17-19/case_0007/ExactRobot_VaryingLength_RegularRes.png
7,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,12.29,runs/2025-11-13_12-17-19/case_0007/ExactRobot_UpSideways_RegularRes.png
7,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,0,inf,0,0,12.39,runs/2025-11-13_12-17-19/case_0007/ExactRobot_UpSidewaysDiagonal_RegularRes.png
8,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,85.14213562373095,9,9,565.13,runs/2025-11-13_12-17-19/case_0008/ExactRobot_VaryingLength_RegularRes.png
8,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1355.19,runs/2025-11-13_12-17-19/case_0008/ExactRobot_UpSideways_RegularRes.png
8,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,73.63152956226111,7,7,193.9,runs/2025-11-13_12-17-19/case_0008/ExactRobot_UpSidewaysDiagonal_RegularRes.png
9,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,45.92838827718412,5,5,320.55,runs/2025-11-13_12-17-19/case_0009/ExactRobot_VaryingLength_RegularRes.png
9,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,45.92838827718412,5,5,80.26,runs/2025-11-13_12-17-19/case_0009/ExactRobot_UpSideways_RegularRes.png
9,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,39.656803363895925,4,4,90.0,runs/2025-11-13_12-17-19/case_0009/ExactRobot_UpSidewaysDiagonal_RegularRes.png
10,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,7.0,2,2,80.63,runs/2025-11-13_12-17-19/case_0010/ExactRobot_VaryingLength_RegularRes.png
10,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,7.0,2,2,19.07,runs/2025-11-13_12-17-19/case_0010/ExactRobot_UpSideways_RegularRes.png
10,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,7.0,2,2,28.97,runs/2025-11-13_12-17-19/case_0010/ExactRobot_UpSidewaysDiagonal_RegularRes.png
11,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,38.48528137423857,5,5,305.5,runs/2025-11-13_12-17-19/case_0011/ExactRobot_VaryingLength_RegularRes.png
11,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,38.48528137423857,5,5,76.55,runs/2025-11-13_12-17-19/case_0011/ExactRobot_UpSideways_RegularRes.png
11,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,38.48528137423857,5,5,120.33,runs/2025-11-13_12-17-19/case_0011/ExactRobot_UpSidewaysDiagonal_RegularRes.png
