case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,52.643316977093235,5,5,260.94,runs/2025-11-13_11-01-33/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,52.643316977093235,5,5,76.02,runs/2025-11-13_11-01-33/case_0001/ExactRobot_UpSideways_RegularRes.png
1,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,54.0415945787923,13,13,26.11,runs/2025-11-13_11-01-33/case_0001/ExactRobot_UpSideways_LargeRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,27589.67,runs/2025-11-13_11-01-33/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,560.16,runs/2025-11-13_11-01-33/case_0002/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,58.52996408614167,14,14,35.7,runs/2025-11-13_11-01-33/case_0002/ExactRobot_UpSideways_LargeRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,46.04987562112089,5,5,257.73,runs/2025-11-13_11-01-33/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,46.04987562112089,5,5,63.41,runs/2025-11-13_11-01-33/case_0003/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,46.04987562112089,11,11,27.11,runs/2025-11-13_11-01-33/case_0003/ExactRobot_UpSideways_LargeRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,48.64911064067352,5,5,280.09,runs/2025-11-13_11-01-33/case_0004/ExactRobot_VaryingLength_RegularRes.png
4,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,48.64911064067352,5,5,78.88,runs/2025-11-13_11-01-33/case_0004/ExactRobot_UpSideways_RegularRes.png
4,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,48.64911064067352,11,11,25.87,runs/2025-11-13_11-01-33/case_0004/ExactRobot_UpSideways_LargeRes.png
5,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,49.27,runs/2025-11-13_11-01-33/case_0005/ExactRobot_VaryingLength_RegularRes.png
5,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,11.95,runs/2025-11-13_11-01-33/case_0005/ExactRobot_UpSideways_RegularRes.png
5,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,0,inf,0,0,1.58,runs/2025-11-13_11-01-33/case_0005/ExactRobot_UpSideways_LargeRes.png
6,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,85.14213562373095,9,9,555.33,runs/2025-11-13_11-01-33/case_0006/ExactRobot_VaryingLength_RegularRes.png
6,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1347.51,runs/2025-11-13_11-01-33/case_0006/ExactRobot_UpSideways_RegularRes.png
6,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,78.81665382639197,20,20,43.23,runs/2025-11-13_11-01-33/case_0006/ExactRobot_UpSideways_LargeRes.png
7,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,16259.99,runs/2025-11-13_11-01-33/case_0007/ExactRobot_VaryingLength_RegularRes.png
7,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,159.82,runs/2025-11-13_11-01-33/case_0007/ExactRobot_UpSideways_RegularRes.png
7,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,59.94427190999916,15,16,34.33,runs/2025-11-13_11-01-33/case_0007/ExactRobot_UpSideways_LargeRes.png
8,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,69.08,runs/2025-11-13_11-01-33/case_0008/ExactRobot_VaryingLength_RegularRes.png
8,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,16.87,runs/2025-11-13_11-01-33/case_0008/ExactRobot_UpSideways_RegularRes.png
8,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,131.63014581273467,35,37,86.18,runs/2025-11-13_11-01-33/case_0008/ExactRobot_UpSideways_LargeRes.png
9,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,38.48528137423857,5,5,300.69,runs/2025-11-13_11-01-33/case_0009/ExactRobot_VaryingLength_RegularRes.png
9,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,38.48528137423857,5,5,73.43,runs/2025-11-13_11-01-33/case_0009/ExactRobot_UpSideways_RegularRes.png
9,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,38.48528137423857,12,12,28.88,runs/2025-11-13_11-01-33/case_0009/ExactRobot_UpSideways_LargeRes.png
10,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,61.17,runs/2025-11-13_11-01-33/case_0010/ExactRobot_VaryingLength_RegularRes.png
10,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,12.65,runs/2025-11-13_11-01-33/case_0010/ExactRobot_UpSideways_RegularRes.png
10,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,0,inf,0,0,2.8,runs/2025-11-13_11-01-33/case_0010/ExactRobot_UpSideways_LargeRes.png
11,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,55988.76,runs/2025-11-13_11-01-33/case_0011/ExactRobot_VaryingLength_RegularRes.png
11,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1093.52,runs/2025-11-13_11-01-33/case_0011/ExactRobot_UpSideways_RegularRes.png
11,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,98.6619037896906,26,26,69.73,runs/2025-11-13_11-01-33/case_0011/ExactRobot_UpSideways_LargeRes.png
12,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,82217.68,runs/2025-11-13_11-01-33/case_0012/ExactRobot_VaryingLength_RegularRes.png
12,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1378.8,runs/2025-11-13_11-01-33/case_0012/ExactRobot_UpSideways_RegularRes.png
12,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,121.28010988928051,32,35,86.37,runs/2025-11-13_11-01-33/case_0012/ExactRobot_UpSideways_LargeRes.png
13,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,139722.3,runs/2025-11-13_11-01-33/case_0013/ExactRobot_VaryingLength_RegularRes.png
13,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,2355.99,runs/2025-11-13_11-01-33/case_0013/ExactRobot_UpSideways_RegularRes.png
13,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,143.08304597359458,35,41,112.43,runs/2025-11-13_11-01-33/case_0013/ExactRobot_UpSideways_LargeRes.png
14,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,120.0,12,12,848.62,runs/2025-11-13_11-01-33/case_0014/ExactRobot_VaryingLength_RegularRes.png
14,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,123.21320343559643,11,11,195.18,runs/2025-11-13_11-01-33/case_0014/ExactRobot_UpSideways_RegularRes.png
14,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,116.81024967590665,31,31,83.08,runs/2025-11-13_11-01-33/case_0014/ExactRobot_UpSideways_LargeRes.png
15,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,143.18033988749895,14,15,1138.54,runs/2025-11-13_11-01-33/case_0015/ExactRobot_VaryingLength_RegularRes.png
15,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1843.56,runs/2025-11-13_11-01-33/case_0015/ExactRobot_UpSideways_RegularRes.png
15,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,132.4017542509914,34,34,93.14,runs/2025-11-13_11-01-33/case_0015/ExactRobot_UpSideways_LargeRes.png
16,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,110966.83,runs/2025-11-13_11-01-33/case_0016/ExactRobot_VaryingLength_RegularRes.png
16,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1611.21,runs/2025-11-13_11-01-33/case_0016/ExactRobot_UpSideways_RegularRes.png
16,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,161.4017542509914,41,41,93.69,runs/2025-11-13_11-01-33/case_0016/ExactRobot_UpSideways_LargeRes.png
17,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,61.0384048104053,6,6,394.78,runs/2025-11-13_11-01-33/case_0017/ExactRobot_VaryingLength_RegularRes.png
17,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,61.0384048104053,6,6,96.62,runs/2025-11-13_11-01-33/case_0017/ExactRobot_UpSideways_RegularRes.png
17,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,61.63014581273465,15,15,38.21,runs/2025-11-13_11-01-33/case_0017/ExactRobot_UpSideways_LargeRes.png
18,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,83.26433752247374,8,8,610.09,runs/2025-11-13_11-01-33/case_0018/ExactRobot_VaryingLength_RegularRes.png
18,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,83.26433752247374,8,8,150.94,runs/2025-11-13_11-01-33/case_0018/ExactRobot_UpSideways_RegularRes.png
18,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,85.18033988749895,22,22,58.5,runs/2025-11-13_11-01-33/case_0018/ExactRobot_UpSideways_LargeRes.png
19,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,12.041594578792296,2,2,71.98,runs/2025-11-13_11-01-33/case_0019/ExactRobot_VaryingLength_RegularRes.png
19,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,12.041594578792296,2,2,16.48,runs/2025-11-13_11-01-33/case_0019/ExactRobot_UpSideways_RegularRes.png
19,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,12.041594578792296,2,2,2.87,runs/2025-11-13_11-01-33/case_0019/ExactRobot_UpSideways_LargeRes.png
20,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,22.77032961426901,3,3,147.39,runs/2025-11-13_11-01-33/case_0020/ExactRobot_VaryingLength_RegularRes.png
20,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,22.77032961426901,3,3,36.85,runs/2025-11-13_11-01-33/case_0020/ExactRobot_UpSideways_RegularRes.png
20,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,21.63014581273465,5,5,9.51,runs/2025-11-13_11-01-33/case_0020/ExactRobot_UpSideways_LargeRes.png
21,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,125792.57,runs/2025-11-13_11-01-33/case_0021/ExactRobot_VaryingLength_RegularRes.png
21,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,2169.21,runs/2025-11-13_11-01-33/case_0021/ExactRobot_UpSideways_RegularRes.png
21,ExactRobot_UpSideways_LargeRes,ExactRobot,UpSideways,LargeRes,1,65.40175425099139,16,16,41.18,runs/2025-11-13_11-01-33/case_0021/ExactRobot_UpSideways_LargeRes.png
22,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,74.72,runs/2025-11-13_11-01-33/case_0022/ExactRobot_VaryingLength_RegularRes.png
22,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,18.21,runs/2025-11-13_11-01-33/case_0022/ExactRobot_UpSideways_RegularRes.png
