case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,7.0,7,8,147.28,runs/2025-11-22_11-48-27/case_0001/ExactRobot_UpSideways_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,7.0,7,8,220.9,runs/2025-11-22_11-48-27/case_0001/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,6.0,6,7,212.65,runs/2025-11-22_11-48-27/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
1,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,7.0,7,8,607.62,runs/2025-11-22_11-48-27/case_0001/ExactRobot_VaryingLength_RegularRes_RegularPad.png
2,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,10.0,10,11,224.19,runs/2025-11-22_11-48-27/case_0002/ExactRobot_UpSideways_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,10.0,10,11,314.67,runs/2025-11-22_11-48-27/case_0002/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,8.0,8,9,280.57,runs/2025-11-22_11-48-27/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
2,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,10.0,10,11,862.5,runs/2025-11-22_11-48-27/case_0002/ExactRobot_VaryingLength_RegularRes_RegularPad.png
3,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,9.0,9,10,201.57,runs/2025-11-22_11-48-27/case_0003/ExactRobot_UpSideways_RegularRes_RegularPad.png
3,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,9.0,9,10,292.71,runs/2025-11-22_11-48-27/case_0003/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad,ExactRobot,UpSidewaysDiagonal,RegularRes,1,7.0,7,8,247.32,runs/2025-11-22_11-48-27/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes_RegularPad.png
3,ExactRobot_VaryingLength_RegularRes_RegularPad,ExactRobot,VaryingLength,RegularRes,1,9.0,9,10,776.92,runs/2025-11-22_11-48-27/case_0003/ExactRobot_VaryingLength_RegularRes_RegularPad.png
4,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,7.0,7,10,202.13,runs/2025-11-22_11-48-27/case_0004/ExactRobot_UpSideways_RegularRes_RegularPad.png
4,ExactRobot_UpSidewaysDown_RegularRes_RegularPad,ExactRobot,UpSidewaysDown,RegularRes,1,7.0,7,10,287.8,runs/2025-11-22_11-48-27/case_0004/ExactRobot_UpSidewaysDown_RegularRes_RegularPad.png
