case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,52.643316977093235,5,5,263.09,runs/2025-11-13_10-56-08/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,52.643316977093235,5,5,72.13,runs/2025-11-13_10-56-08/case_0001/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,28070.5,runs/2025-11-13_10-56-08/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,567.63,runs/2025-11-13_10-56-08/case_0002/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,46.04987562112089,5,5,254.33,runs/2025-11-13_10-56-08/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,46.04987562112089,5,5,62.72,runs/2025-11-13_10-56-08/case_0003/ExactRobot_UpSideways_RegularRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,48.64911064067352,5,5,289.47,runs/2025-11-13_10-56-08/case_0004/ExactRobot_VaryingLength_RegularRes.png
4,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,48.64911064067352,5,5,81.55,runs/2025-11-13_10-56-08/case_0004/ExactRobot_UpSideways_RegularRes.png
5,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,49.73,runs/2025-11-13_10-56-08/case_0005/ExactRobot_VaryingLength_RegularRes.png
5,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,12.04,runs/2025-11-13_10-56-08/case_0005/ExactRobot_UpSideways_RegularRes.png
6,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,85.14213562373095,9,9,570.43,runs/2025-11-13_10-56-08/case_0006/ExactRobot_VaryingLength_RegularRes.png
6,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1369.19,runs/2025-11-13_10-56-08/case_0006/ExactRobot_UpSideways_RegularRes.png
7,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,16559.11,runs/2025-11-13_10-56-08/case_0007/ExactRobot_VaryingLength_RegularRes.png
7,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,160.54,runs/2025-11-13_10-56-08/case_0007/ExactRobot_UpSideways_RegularRes.png
8,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,70.91,runs/2025-11-13_10-56-08/case_0008/ExactRobot_VaryingLength_RegularRes.png
8,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,17.11,runs/2025-11-13_10-56-08/case_0008/ExactRobot_UpSideways_RegularRes.png
9,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,38.48528137423857,5,5,303.24,runs/2025-11-13_10-56-08/case_0009/ExactRobot_VaryingLength_RegularRes.png
9,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,38.48528137423857,5,5,75.97,runs/2025-11-13_10-56-08/case_0009/ExactRobot_UpSideways_RegularRes.png
10,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,61.5,runs/2025-11-13_10-56-08/case_0010/ExactRobot_VaryingLength_RegularRes.png
10,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,13.03,runs/2025-11-13_10-56-08/case_0010/ExactRobot_UpSideways_RegularRes.png
