case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,52.643316977093235,5,5,262.72,runs/2025-11-13_12-09-50/case_0001/ExactRobot_VaryingLength_RegularRes.png
1,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,52.643316977093235,5,5,77.42,runs/2025-11-13_12-09-50/case_0001/ExactRobot_UpSideways_RegularRes.png
1,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,49.631529562261115,5,5,122.01,runs/2025-11-13_12-09-50/case_0001/ExactRobot_UpSidewaysDiagonal_RegularRes.png
2,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,143.4928556845359,13,13,834.07,runs/2025-11-13_12-09-50/case_0002/ExactRobot_VaryingLength_RegularRes.png
2,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,1,143.4928556845359,13,13,220.5,runs/2025-11-13_12-09-50/case_0002/ExactRobot_UpSideways_RegularRes.png
2,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,1,125.50329072725563,11,11,309.72,runs/2025-11-13_12-09-50/case_0002/ExactRobot_UpSidewaysDiagonal_RegularRes.png
3,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,0,inf,0,0,128652.67,runs/2025-11-13_12-09-50/case_0003/ExactRobot_VaryingLength_RegularRes.png
3,ExactRobot_UpSideways_RegularRes,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1886.99,runs/2025-11-13_12-09-50/case_0003/ExactRobot_UpSideways_RegularRes.png
3,ExactRobot_UpSidewaysDiagonal_RegularRes,ExactRobot,UpSidewaysDiagonal,RegularRes,0,inf,0,0,47338.97,runs/2025-11-13_12-09-50/case_0003/ExactRobot_UpSidewaysDiagonal_RegularRes.png
4,ExactRobot_VaryingLength_RegularRes,ExactRobot,VaryingLength,RegularRes,1,48.64911064067352,5,5,287.62,runs/2025-11-13_12-09-50/case_0004/ExactRobot_VaryingLength_RegularRes.png
